src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,comments,logg,logg Err,N_planets,R_s,R_s Err,R_p,R_p Err,T_eq,T_eff,T_eff Err,Insol_p,SNR_p,Centroid offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Created,Updated
qlp,219253008,00268.01,PC,65.915985,-53.850952,9.6,0.05,1385.12498,0.00098,5.06665,0.00014,6.048,0.067,1911.43,0.162741,5 4 3,"Two stars in center pixel 2"" apart; stars closer to Tmag 10",3.57,0.34,1,2.79,0.45,13.4169,2.16637,1609.0,5868.0,190.0,1114.96,52.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:30.376448+00:00,2019-04-25 14:25:50.425261+00:00
qlp,452808876,00453.01,PC,72.660671,1.893921,9.514,0.018,1438.96587,0.0004,2.70582,8e-05,4.968,0.031,6400.29,0.107904,5,WASP-82b,3.97,,1,2.24,0.12,19.7436,1.02609,2033.0,6087.1,160.0,2836.68,205.0,False,5,5,5,5,5,5,5,2019-01-31 16:53:30.691310+00:00,2019-04-25 14:25:28.071873+00:00
qlp,139733308,00452.01,PC,67.222871,-21.481923,11.852,0.018,1441.13252,0.00141,4.76407,0.00049,3.079,0.282,11436.0,6.45925,5,HATS-5b,4.53,,1,0.88,0.04,10.359,0.569981,1082.0,5220.1,129.0,227.701,70.0,False,5,5,5,5,5,5,5,2019-01-31 16:53:30.632204+00:00,2019-04-25 14:25:14.804076+00:00
qlp,257605131,00451.01,PC,62.966444,-37.939784,10.236,0.018,1416.62451,0.00447,8.18554,0.00177,4.436,1.068,1853.42,7.97841,5 4,may also be 2x period,4.53,0.28,1,0.83,0.14,3.95155,0.689999,1193.0,5530.2,520.3,337.2,15.0,False,2,4,1,1,4,4,4,2019-01-31 16:53:30.829712+00:00,2019-04-25 14:25:03.346148+00:00
qlp,139528693,00449.01,PC,63.75624,-22.116432,11.765,0.019,1440.37673,0.00075,2.17542,0.00014,4.64,0.066,6863.25,0.665662,5,WASP-78b,4.1,,1,2.01,0.05,18.3116,0.451173,2275.0,6316.5,72.9,4446.86,93.0,False,5,5,5,5,5,5,5,2019-01-31 16:53:30.986887+00:00,2019-04-25 14:24:48.040538+00:00
qlp,1528696,00448.01,PC,75.795414,-30.399349,13.073,0.02,1438.40559,0.00109,0.88202,7e-05,0.58,0.093,38108.5,2345.85,5,depth is 8 ppt,4.54,0.26,1,0.66,0.03,14.0903,3.54534,1262.0,4975.0,104.1,421.196,33.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:31.122440+00:00,2019-04-25 14:24:37.181841+00:00
qlp,1449640,00446.01,PC,75.171624,-35.202599,11.883,0.018,1440.4336,0.00115,3.50175,0.0003,3.804,0.1,14123.3,2.44777,5,likely EB; hint of secondary.,4.03,0.18,1,1.7,0.03,22.1692,0.476849,1615.0,6383.9,54.6,1131.39,71.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:30.888243+00:00,2019-04-25 14:23:48.706975+00:00
qlp,179034327,00444.01,PC,64.18414,-26.765912,9.073,0.036,1417.58759,0.0035,17.97429,0.00207,3.904,0.272,883.495,0.629689,5 4,,4.55,0.42,1,0.78,0.04,2.54738,0.133706,612.0,5135.0,117.6,23.3283,24.0,False,1,4,1,1,4,4,4,2019-01-31 16:53:30.731074+00:00,2019-04-25 14:22:30.115236+00:00
qlp,117979897,00443.01,PC,71.824416,-17.115154,12.02,0.019,1439.87246,0.00106,3.3106,0.00025,3.589,0.135,7844.13,2.09593,5,WASP-141b,4.26,,1,1.36,0.05,13.2692,0.548937,1528.0,5928.0,114.4,905.473,71.0,False,5,5,5,5,5,5,5,2019-01-31 16:53:30.750908+00:00,2019-04-25 14:22:15.940217+00:00
qlp,70899085,00442.01,PC,64.19,-12.084,10.662,0.04,1438.38552,0.00064,4.05203,0.00016,1.299,0.053,4839.07,2.46116,5,,4.72,0.34,1,0.51,0.02,3.8945,0.164832,578.0,4100.6,72.5,18.5809,55.0,False,2,4,1,1,4,4,4,2019-01-31 16:53:30.790316+00:00,2019-04-25 14:22:02.332614+00:00
qlp,316916655,00441.01,PC,74.472819,-13.703695,9.196,0.018,1440.19448,0.00099,2.87436,0.00021,1.901,0.412,2490.41,6.36835,5,SG1 check if the target is 316916663; possible odd-even,4.26,0.34,1,1.44,0.1,7.91346,0.685174,1865.0,6805.0,242.2,2011.82,65.0,False,3,4,3,3,4,4,4,2019-01-31 16:53:31.415284+00:00,2019-04-25 14:21:49.282644+00:00
qlp,13021029,00439.01,PC,75.299663,-26.054143,11.668,0.019,1439.12362,0.00094,3.85605,0.00024,3.918,0.176,8294.17,1.31453,5,WASP-61b,4.26,,1,1.32,0.04,13.2686,0.467783,1609.0,6407.0,105.8,1114.64,85.0,False,5,5,5,5,5,5,5,2019-01-31 16:53:31.102771+00:00,2019-04-25 14:20:36.911347+00:00
qlp,468880077,00438.01,PC,56.504316,9.990412,9.401,0.017,1441.05616,0.00628,5.8076,0.00281,1.802,0.405,897.312,2.85588,5,need SG1 to check star 468880075,,,1,0.81,0.03,2.67609,0.178971,792.0,5175.0,93.0,65.3399,10.0,False,2,4,1,1,4,4,4,2019-01-31 16:53:30.947336+00:00,2019-04-25 14:20:12.333121+00:00
qlp,44745077,00436.01,PC,61.6399,-25.0937,13.041,0.04,1411.70271,0.00319,1.8756,0.00017,0.989,0.279,5666.3,38.9309,5 4,v-shaped due to short transit duration,4.87,0.41,1,,,,,707.0,3549.7,274.0,41.5533,16.0,False,2,1,2,2,2,2,2,2019-01-31 16:53:30.534620+00:00,2019-04-25 14:19:54.134226+00:00
