TIC ID|CTOI|MASTER|SG1A|SG1B|SG2|SG3|SG4|SG5|User Disposition|TFOPWG Disposition|TESS Mag|TESS Mag err|RA|Dec|PM RA (mas/yr)|PM RA err (mas/yr)|PM Dec (mas/yr)|PM RA (mas/yr)|Midpoint (BJD)|Midpoint err|Period (days)|Period (days) Error|Depth mmag|Depth mmag Error|Depth ppm|Depth ppm Error|Duration (hrs)|Duration (hrs) Error|Inclination (deg)|Inclination (deg) Error|Impact Param|Impact Param Error|Rad_p/Rad_s|Rad_p/Rad_s Error|a/Rad_s|a/Rad_s Error|Radius (R_Earth)|Radius (R_Earth) Error|Mass (M_Earth)|Mass (M_Earth) Error|Insolation (Earth Flux)|Insolation (Earth Flux) Error|Equilibrium Temp (K)|Equilibrium Temp (K) Error|Fitted Stellar Density (g/cm^3)|Fitted Stellar Density (g/cm^3) Error|Semi-Major Axis (AU)|Semi-Major Axis (AU) Error|Eccentricity|Eccentricity (Error)|Arg of Periastron|Arg of Periastron Error|Time of Periastron (BJD)|Time of Periastron (BJD) Error|Velocity Semi-amp (m/s)|Velocity Semi-amp (m/s) Error|Stellar Distance (pc)|Stellar Distance (pc) err|Stellar Eff Temp (K)|Stellar Eff Temp (K) err|Stellar log(g) (cm/s^2)|Stellar log(g) (cm/s^2) err|Stellar Radius (R_Sun)|Stellar Radius (R_Sun) err|CTOI lastmod|User|Group|Tag|Notes
115115136|115115136.01||||||||PC||11.3959|0.006|316.796244|-39.766381|24.591|0.056|-13.34|0.044|2458335.8122||3.970833||3814.783652||970208.9||3.56666666666667||||||||||||||||||||||||||||||421.299|7.005|6238|136.209|4.22177|.085633|1.41105|.0685226|2019-05-10 10:14:26|lipponen||3534|firstBulkUploadTest
115115136|115115136.02||||||||PC||11.3959|0.006|316.796244|-39.766381|24.591|0.056|-13.34|0.044|2458325.9095||4||6141.692748||996506||3.33333333333333||||||||||||||||||||||||||||||421.299|7.005|6238|136.209|4.22177|.085633|1.41105|.0685226|2019-05-10 10:14:26|lipponen||3534|firstBulkUploadTest
121420805|121420805.01||||||||PC||11.3169|0.006|341.833475|-47.916093|-9.558|0.055|-4.838|0.074|2458326.2293||1.720139||540.351026||392061.581232642||4.93333333333333||||||||||96.9894574537454||||||||||||||||||||754.381|32.912|7942|138.288|4.2016|.083198|1.81447|.0878744|2019-06-06 03:40:31|lipponen||3787|sector1
121420805|121420805.02||||||||PC||11.3169|0.006|341.833475|-47.916093|-9.558|0.055|-4.838|0.074|2458327.0863||1.718056||3023.466416||938253.34528765||4.1||||||||||30.9101741512152||||||||||||||||||||754.381|32.912|7942|138.288|4.2016|.083198|1.81447|.0878744|2019-06-06 03:40:31|lipponen||3787|sector1
125192758|125192758.01|5|5|5|5|5|5|5|PC|FP|14.1452|0.011|105.394824|-8.816844|-0.83|0.057|-0.357|0.053|2458492.689092073|.005194524535909295|1.7306882364130334|0.0006749908248124825|35.612336|21.505482|32268.08100739372|19612.40559358689|2.6864943661050957|0.6575725647618619|72.73502181723704|6.471461416425677|.989376392541696|.4619497044016473|.1796331845940324|.0772021329018234|3.33357697194692|.9772137114419448|29.24658979244059|8.773976937732176|||||||||||||||||||1100.46|47.425|5384|123|4.05864||1.49265||2019-11-01 06:09:23|bouma|tfopwg|5723|Giant PC in M50, 100Myr star; rot variable. Parallax a tad low, but within CG18's M50 members.  (CDIPS; Bouma+19)
126945917|126945917.01||||||||PC||9.1063|0.006|318.732623|-43.395502|44.059|0.081|-12.722|0.072|2458325.6218||1.347917||2225.344165||871215.874271156||6.66666666666667||||||||||73.6053970136627||||||||||||||||||||310.176|5.5135|7580|145.012|3.98548|.083325|2.23383|.085402|2019-05-25 09:17:28|lipponen||3787|sector1
126945917|126945917.02||||||||PC||9.1063|0.006|318.732623|-43.395502|44.059|0.081|-12.722|0.072|2458326.2885||1.342361||1117.184164||642623.21768236||5.03333333333333||||||||||122.614451487989||||||||||||||||||||310.176|5.5135|7580|145.012|3.98548|.083325|2.23383|.085402|2019-05-25 09:17:28|lipponen||3787|sector1
129268651|129268651.01||||||||PC||13.8728|0.007|118.767185|-28.829894|-119.149|0.074|-31.476|0.082|2458526.25411|.00272|5.965288|0.001875|0.000109||0.1|0|0.087|0.009|90.21|.99|-.098|.468|.2175|.0121|27|2.7|5.41|.34|||4.3|.4|400.9|8.5|||.0373|.0002|0|0|||||||56.9275|.15745|3380|157|5.01784|.0181984|.227887|.00687227|2019-06-10 08:56:06|cloutier||4047|new CTOI from ORION (https://arxiv.org/abs/1812.08145)
134528212|134528212.01||||||||PC||13.7025|0.006|122.413793|-37.371099|4.079|2.85|-4.126|2.85|2458492.259666701|.002742790617048741|1.6052396275434235|0.0003335330681822901|14.927555|7.269424|13654.703335187733|6673.022969491445|1.8457391282985087|0.5692965005768077|84.06739597190902|6.483996954097486|.6361707641387302|.7197943383026958|.11685334113831633|.040380016067797134|6.154989047226482|1.8888896131291664|15.573008369147153|7.126463721774588|||||||||||||||||||705.238||||||||2019-09-18 09:12:28|bouma|tfopwg|5724|Cand HJ, Dias14 says in NGC2546. Occ depth implies likely EB. Star is 2sigma off in parallax & PMs. (CDIPS; Bouma+19)
139198430|139198430.01||||||||PC||9.3059|0.006|345.630986|-46.085195|-24.1|1.3|-2.1|1.4|2458333.111||||10.875337||9966.557||1.3||||||||||7.1||||||||||||||||||||135.265||5984||||1.21977||2019-04-10 21:28:18|lipponen||3118|single_drop
