**************************************************
All Kharchenko+ 2013 clusters in sector 5:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_252-14       2180.0        8.655         16.0                   3
         Alessi_3        311.0        8.870         78.0                   3
         FSR_1446       2434.0        9.100         49.0                   3
         FSR_1447       2549.0        9.100         39.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
         FSR_1435       1296.0        6.000         61.0                   2
        Pismis_11       4767.0        6.000         38.0                   2
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
          IC_2944       2098.0        6.250         88.0                   2
        Loden_153       3015.0        6.300         42.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
         Muzzio_1       1394.0        6.500        111.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
      Feigelson_1        117.0        6.600         26.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
      Ruprecht_59       4004.0        6.800         88.0                   2
          DBSB_35       1678.0        6.800         35.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
          ASCC_79        871.0        6.950        703.0                   2
        Loden_112       2430.0        6.960        141.0                   2
      Ruprecht_55       3640.0        6.970        112.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
    Collinder_205       1458.0        7.030        131.0                   2
    Collinder_121       1096.0        7.080        205.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
 vdBergh-Hagen_23        414.0        7.140        123.0                   2
     Ruprecht_154       3160.0        7.150         37.0                   2
          ASCC_58        564.0        7.200        149.0                   2
       ESO_430-14       2860.0        7.210         78.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
          IC_2395        701.0        7.270        159.0                   2
 vdBergh-Hagen_56        737.0        7.300         48.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         NGC_2571       1339.0        7.350        116.0                   2
         NGC_2659       1713.0        7.360        159.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Pismis_8       1363.0        7.430        122.0                   2
         FSR_1379       1951.0        7.450        105.0                   2
         Bochum_7       6059.0        7.500         39.0                   2
 vdBergh-Hagen_54       1239.0        7.500        138.0                   2
          DBSB_36        748.0        7.500         18.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
         FSR_1474       1079.0        7.525         44.0                   2
         Pismis_6       1668.0        7.580        276.0                   2
         FSR_1518       1819.0        7.600         78.0                   2
        Loden_624       1423.0        7.600        999.0                   2
          DBSB_47       1669.0        7.650         28.0                   2
          ASCC_61       1702.0        7.665        111.0                   2

**************************************************
All Kharchenko+ 2013 clusters in sector 6:

Name            d         logt        N1sr2  total_sectors_obsd
        NGC_1641        985.0        9.520         78.0                  12
        NGC_2348       1076.0        9.475         43.0                  11
        NGC_1557       1820.0        9.500         20.0                  11
        FSR_1514       2754.0        9.500         30.0                  11
        FSR_1470       1055.0        8.630         52.0                  10
        NGC_2132       1003.0        9.045         52.0                  10
        NGC_1901        406.0        8.850        134.0                   9
        NGC_2516        373.0        8.475        698.0                   6
      ESO_123-26        816.0        8.530         92.0                   5
        FSR_1440       1631.0        8.760         91.0                   4
        FSR_1479       4055.0        9.200         40.0                   4
        Alessi_3        311.0        8.870         78.0                   3
        FSR_1446       2434.0        9.100         49.0                   3
        FSR_1447       2549.0        9.100         39.0                   3
     Ruprecht_59       4004.0        6.800         88.0                   2
     Ruprecht_55       3640.0        6.970        112.0                   2
   Collinder_121       1096.0        7.080        205.0                   2
vdBergh-Hagen_23        414.0        7.140        123.0                   2
    Ruprecht_154       3160.0        7.150         37.0                   2
      ESO_430-14       2860.0        7.210         78.0                   2
        NGC_2571       1339.0        7.350        116.0                   2
        FSR_1379       1951.0        7.450        105.0                   2
         ASCC_33        704.0        7.700        434.0                   2
      ESO_311-14       1278.0        7.740         70.0                   2
       NGC_2451A        188.0        7.760        297.0                   2
        Pismis_1       5903.0        7.800         11.0                   2
        Ivanov_8       1194.0        7.800         55.0                   2
        NGC_2547        361.0        7.890        174.0                   2
         ASCC_44        553.0        7.900        102.0                   2
        FSR_1378       1562.0        8.000        187.0                   2
      Haffner_26       2589.0        8.000         67.0                   2
        NGC_2546        935.0        8.135       1267.0                   2
         ASCC_42        792.0        8.150         98.0                   2
     Ruprecht_47       2892.0        8.180        123.0                   2
        FSR_1195       3150.0        8.200        114.0                   2
         ASCC_32        767.0        8.215        195.0                   2
       NGC_2451B        489.0        8.230        215.0                   2
        FSR_1342       3628.0        8.290         71.0                   2
        NGC_2533       2955.0        8.365         73.0                   2
        NGC_2580       5067.0        8.400         23.0                   2
        FSR_1361       2234.0        8.490         92.0                   2
   Kronberger_85      10380.0        8.500         39.0                   2
      ESO_430-09       2273.0        8.500         34.0                   2
        FSR_1363       2391.0        8.500         42.0                   2
     Ruprecht_52       1609.0        8.550         58.0                   2
        NGC_2220       1393.0        8.560         27.0                   2
    Ruprecht_155       2311.0        8.570         28.0                   2
    Ruprecht_153       5326.0        8.580         30.0                   2
        FSR_1357       2361.0        8.595        109.0                   2
        FSR_1317       2180.0        8.600         18.0                   2
     Ruprecht_48       3033.0        8.600         11.0                   2
        NGC_2579       1221.0        8.600         47.0                   2
     Ruprecht_58       2340.0        8.615         77.0                   2
        FSR_1336       1649.0        8.635         49.0                   2
        NGC_2567       1678.0        8.645        165.0                   2
     Ruprecht_31        541.0        8.650         27.0                   2
          SAI_86       3022.0        8.650         37.0                   2
        FSR_1285       1685.0        8.670         64.0                   2
        NGC_2587       2701.0        8.700         56.0                   2
    Ruprecht_157       2311.0        8.700         73.0                   2
     Ruprecht_56        429.0        8.745        123.0                   2
        FSR_1279       2237.0        8.750         60.0                   2
        NGC_2318       1713.0        8.750         77.0                   2
vdBergh-Hagen_19       3259.0        8.755         27.0                   2
     Ruprecht_51       2534.0        8.770         44.0                   2
     Ruprecht_50       1834.0        8.775         38.0                   2
      Ruprecht_9       3434.0        8.795         67.0                   2
      Ruprecht_8       2190.0        8.845         67.0                   2
        FSR_1377       4640.0        8.845         32.0                   2
     Ruprecht_53       1523.0        8.860         75.0                   2
      ESO_430-18        871.0        8.875         91.0                   2
        NGC_2588       2421.0        8.900         80.0                   2
        NGC_2527        642.0        8.910         96.0                   2
        NGC_2477       1450.0        8.915       1209.0                   2
     Ruprecht_54       5243.0        8.915         31.0                   2
   Collinder_187       2187.0        8.915         38.0                   2
          SAI_88       5838.0        8.925         51.0                   2
      Ruprecht_2       3161.0        8.945         22.0                   2
     Ruprecht_57       1764.0        8.975         29.0                   2
        FSR_1339       4167.0        8.990         88.0                   2
        FSR_1380       3112.0        8.990         76.0                   2
      Tombaugh_2       6565.0        9.010         51.0                   2
        FSR_1365       1884.0        9.010         96.0                   2
        FSR_1400       2290.0        9.035         48.0                   2
     Berkeley_33       4785.0        9.040         63.0                   2
      ESO_309-03       2057.0        9.050         26.0                   2
        Pismis_2       2754.0        9.055        277.0                   2
      Tombaugh_1       2642.0        9.065        188.0                   2
      Ruprecht_3       1259.0        9.100         39.0                   2
        FSR_1185       5374.0        9.100         56.0                   2
        FSR_1383       2434.0        9.120         72.0                   2
        FSR_1303       1833.0        9.175         29.0                   2
      Haffner_22       2796.0        9.190        140.0                   2
        FSR_1335       3835.0        9.205         33.0                   2
      ESO_426-26       1474.0        9.215         54.0                   2
    Ruprecht_152       3629.0        9.285         49.0                   2
     Berkeley_75       6273.0        9.300         21.0                   2
    Ruprecht_149       3969.0        9.300         49.0                   2
      ESO_311-21       5118.0        9.300        120.0                   2
      vdBergh_83       1925.0        9.350         24.0                   2
      Melotte_66       4487.0        9.365        195.0                   2
      Teutsch_50       3254.0        9.480         70.0                   2
        NGC_2298      10815.0       10.100         35.0                   2
 IRAS_07255-2012       8570.0        6.000         67.0                   1
          DBSB_9       4389.0        6.000         17.0                   1
         Pup_OB3       1768.0        6.400        175.0                   1
   NGC_2467-east       4003.0        6.415         12.0                   1
          DBSB_6       4152.0        6.550        121.0                   1
        Ivanov_6       2434.0        6.600         40.0                   1
        NGC_2362       1375.0        6.640        149.0                   1
        FSR_1178       2375.0        6.650         72.0                   1
      Haffner_19       4611.0        6.650         28.0                   1
        FSR_1297       3654.0        6.700         85.0                   1
        FSR_1243       4336.0        6.700        133.0                   1
     Ruprecht_32       4417.0        6.700         57.0                   1
        FSR_1228       4186.0        6.750        124.0                   1
        FSR_1283       4192.0        6.800        120.0                   1
     Ruprecht_44       4666.0        6.800        179.0                   1
      ESO_429-02       2057.0        6.900         37.0                   1
          DBSB_3       3360.0        7.000         46.0                   1
        NGC_2401       3778.0        7.000         61.0                   1
         BDSB_96       1401.0        7.160         46.0                   1
        NGC_2353       1180.0        7.200        109.0                   1
        NGC_2439       3834.0        7.250        143.0                   1
        NGC_2448       1040.0        7.250         37.0                   1
         ASCC_45       3001.0        7.250         71.0                   1
        NGC_2414       2874.0        7.270        115.0                   1
      Haffner_15       2237.0        7.280        140.0                   1
      Haffner_16       2654.0        7.300         35.0                   1
        NGC_2489       2255.0        7.315        153.0                   1
      vdBergh_92       1570.0        7.360        169.0                   1
        Bochum_5       1775.0        7.400         22.0                   1
       Basel_11A       1537.0        7.420        187.0                   1
        NGC_2367       1772.0        7.425        219.0                   1
        NGC_2421       2178.0        7.450        170.0                   1
          DBSB_7       2549.0        7.495         99.0                   1
   Collinder_132        330.0        7.510         49.0                   1
      Haffner_13        714.0        7.520        126.0                   1
        NGC_2483       1649.0        7.600         52.0                   1
       Alessi_21        596.0        7.700        100.0                   1
        FSR_1157        926.0        7.700         14.0                   1
   Collinder_140        386.0        7.700        112.0                   1
        NGC_2430        707.0        7.700         25.0                   1
     Ruprecht_26       1456.0        7.800        191.0                   1
      Trumpler_9       2291.0        7.800         50.0                   1
        FSR_1194       1184.0        7.815        132.0                   1
        NGC_2453       2383.0        7.865         12.0                   1
        NGC_2345       2605.0        7.900        293.0                   1
        FSR_1145       1292.0        7.900         40.0                   1
      Haffner_18       2856.0        7.900         23.0                   1
     Ruprecht_19       1797.0        8.000         87.0                   1
      Trumpler_7       1659.0        8.000        250.0                   1
